PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT,MIN_TOTAL,CLUSTER,ARCHETYPE,DIST_TO_CENTROID
1631260,AJ Green,AJ,1610612749,MIL,26.0,78,31,47,0.397,29.1,112.1,113.1,113.1,115.9,116.7,116.7,-3.8,-3.6,-3.6,0.09,2.03,17.6,0.013,0.08,0.046,8.7,8.6,0.612,0.627,0.135,0.139,100.08,99.28,82.73,99.28,0.058,4704,262,618,3.4,7.9,0.424,28,188,548,387,109,262,228,228,436,442,442,348,343,343,417,199,287,530,488,531,182,180,87,109,467,467,415,467,467,497,149,129,237,211,403,1,2269.8,2,Offensive Rebounder,1.8033077388331482
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,36,27,9,0.75,27.9,123.4,124.7,124.7,112.0,112.0,112.0,11.4,12.7,12.7,0.13,2.53,15.9,0.052,0.148,0.102,6.3,6.3,0.574,0.62,0.213,0.219,100.54,99.99,83.33,99.99,0.117,2096,198,398,5.5,11.1,0.497,384,225,116,46,129,14,9,9,261,248,248,35,32,32,266,118,334,202,165,168,70,70,158,123,133,134,394,426,426,104,215,229,101,119,168,1,1004.4,1,Defensive Rebounder,1.8826029146951084
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,57,38,19,0.667,13.7,114.8,114.6,114.6,106.4,106.3,106.3,8.4,8.3,8.3,0.105,1.58,16.3,0.016,0.054,0.035,10.4,10.3,0.55,0.578,0.159,0.166,99.54,99.63,83.02,99.63,0.063,1618,105,252,1.8,4.4,0.417,235,128,236,106,414,143,158,158,63,71,71,60,64,64,353,338,325,498,557,564,328,325,255,272,350,342,451,445,445,468,332,316,402,385,434,1,780.9,2,Offensive Rebounder,1.6116806389116476
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,45,10,35,0.222,29.7,109.9,111.1,111.1,116.9,118.4,118.4,-7.0,-7.3,-7.3,0.091,1.37,12.2,0.034,0.102,0.067,9.0,8.9,0.517,0.554,0.19,0.196,104.33,103.09,85.91,103.09,0.067,2871,212,512,4.7,11.4,0.414,331,411,459,514,97,360,312,312,465,490,490,425,425,425,410,414,468,318,359,367,204,197,385,363,203,206,119,193,193,448,203,177,142,110,445,1,1336.5,2,Offensive Rebounder,0.9512483150814578
1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,65,50,15,0.769,21.8,113.0,112.8,112.8,106.9,106.7,106.7,6.1,6.2,6.2,0.11,1.35,14.3,0.028,0.101,0.066,10.7,10.7,0.521,0.538,0.194,0.198,101.29,101.47,84.56,101.47,0.082,2986,231,536,3.6,8.2,0.431,166,32,187,34,250,213,240,240,72,80,80,94,96,96,329,418,395,382,365,375,353,361,371,412,190,199,343,320,320,340,183,163,220,197,381,1,1417.0,2,Offensive Rebounder,1.185171749748804
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,72,19,53,0.264,27.6,109.5,109.8,109.8,119.8,120.4,120.4,-10.3,-10.7,-10.7,0.098,1.22,11.2,0.048,0.097,0.072,9.2,9.2,0.52,0.533,0.21,0.215,104.98,104.58,87.15,104.58,0.069,4337,395,892,5.5,12.4,0.443,84,316,568,479,137,377,367,367,514,523,523,491,491,491,380,450,502,216,381,335,222,222,376,424,145,147,84,99,99,436,67,54,102,87,340,1,1987.2,2,Offensive Rebounder,1.8213754221300595
1641737,Adem Bona,Adem,1610612755,PHI,23.0,71,41,30,0.577,17.4,112.6,113.1,113.1,111.6,112.8,112.8,1.0,0.3,0.3,0.034,0.57,8.9,0.099,0.138,0.119,15.6,15.7,0.6,0.638,0.108,0.111,103.15,102.39,85.32,102.39,0.069,2626,131,220,1.8,3.1,0.595,98,97,395,206,337,233,232,232,242,278,278,227,244,244,567,548,545,69,207,114,541,541,98,81,539,541,196,241,241,437,298,338,400,453,59,1,1235.3999999999999,3,Defensive Rebounder 2,3.105795344203576
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,57,50,7,0.877,25.8,118.4,118.2,118.2,102.6,102.5,102.5,15.8,15.6,15.6,0.194,2.54,21.8,0.027,0.093,0.062,8.6,8.5,0.536,0.585,0.21,0.217,102.33,102.48,85.4,102.48,0.116,3149,286,590,5.0,10.4,0.485,235,32,99,5,172,48,70,70,27,32,32,18,22,22,147,115,162,392,413,409,178,177,306,242,143,142,264,233,233,113,131,142,126,134,197,1,1470.6000000000001,2,Offensive Rebounder,1.3252751207385987
201143,Al Horford,Al,1610612744,GSW,39.0,45,22,23,0.489,21.5,112.7,112.7,112.7,114.0,113.5,113.5,-1.3,-0.9,-0.9,0.171,2.76,23.5,0.043,0.184,0.111,8.5,8.5,0.54,0.554,0.163,0.168,100.89,101.08,84.24,101.08,0.104,2045,138,324,3.1,7.2,0.426,331,277,289,334,255,228,249,249,358,316,316,293,276,276,182,86,139,244,82,140,173,175,289,360,330,332,372,351,351,185,286,269,272,242,394,1,967.5,1,Defensive Rebounder,1.3481748993859917
1627936,Alex Caruso,Alex,1610612760,OKC,32.0,56,47,9,0.839,18.2,117.8,116.9,116.9,99.4,99.3,99.3,18.4,17.6,17.6,0.145,2.29,22.8,0.028,0.113,0.073,10.0,10.0,0.512,0.54,0.152,0.157,102.28,102.74,85.62,102.74,0.093,2183,127,300,2.3,5.4,0.423,247,44,116,9,327,64,105,105,16,18,18,12,16,16,237,155,146,388,315,331,288,293,397,407,383,385,269,212,212,245,301,283,357,334,405,1,1019.1999999999999,2,Offensive Rebounder,1.1265149635383198
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,48,11,37,0.229,27.2,107.5,108.0,108.0,118.9,120.4,120.4,-11.4,-12.4,-12.4,0.161,1.59,14.0,0.073,0.179,0.126,8.8,8.8,0.52,0.544,0.252,0.258,104.26,103.35,86.12,103.35,0.121,2808,316,656,6.6,13.7,0.482,310,406,482,510,145,445,421,421,502,520,520,512,513,513,202,333,410,116,97,94,191,193,375,393,59,62,127,170,170,97,114,113,60,62,206,1,1305.6,1,Defensive Rebounder,2.0785265557095935
1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,72,46,26,0.639,33.3,115.5,117.1,117.1,113.7,113.7,113.7,1.9,3.4,3.4,0.282,1.96,22.8,0.089,0.177,0.133,11.6,11.6,0.537,0.569,0.259,0.266,98.68,98.02,81.69,98.02,0.142,4914,583,1123,8.1,15.6,0.519,84,52,338,140,32,122,95,95,338,325,325,201,159,159,53,227,148,85,99,83,433,433,303,312,51,53,498,526,526,42,14,25,23,39,119,1,2397.6,1,Defensive Rebounder,3.157822944440045
1641708,Amen Thompson,Amen,1610612745,HOU,23.0,79,49,30,0.62,37.4,116.3,117.0,117.0,110.0,110.4,110.4,6.4,6.6,6.6,0.202,2.21,23.1,0.078,0.123,0.101,10.4,10.4,0.545,0.594,0.195,0.201,98.89,98.4,82.0,98.4,0.128,6040,557,1044,7.1,13.2,0.534,25,37,395,160,2,98,98,98,159,174,174,88,85,85,136,169,143,107,268,173,334,332,272,212,188,189,485,506,506,78,20,35,46,71,99,1,2954.6,1,Defensive Rebounder,1.8606785952901526
