PLAYER_NAME,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE,MIN_TOTAL,GP,CLUSTER,ARCHETYPE,DIST_TO_CENTROID
A.J. Lawson,0.18033333333333332,0.076,0.08266666666666667,0.038,0.12966666666666668,0.5496666666666666,6.766666666666667,103.56333333333333,1022.6,92,3,3-and-D / Role Player,1.8898378271472134
AJ Green,0.136,0.08133333333333333,0.049999999999999996,0.013,0.08533333333333333,0.6216666666666667,6.8,99.69333333333333,4542.9,207,3,3-and-D / Role Player,1.6333093962079257
AJ Johnson,0.184,0.16449999999999998,0.0495,0.019,0.08099999999999999,0.4465,10.7,101.44,1089.2,77,0,Pass-First Guard,1.7797688166725765
Aaron Gordon,0.19099999999999998,0.13999999999999999,0.09733333333333333,0.06333333333333334,0.12866666666666668,0.6256666666666667,8.033333333333333,99.88,4752.3,160,1,Rim Protector / Defensive Big,1.8959238799176483
Aaron Holiday,0.15966666666666665,0.13466666666666666,0.04133333333333333,0.016,0.06733333333333333,0.5833333333333334,9.233333333333334,101.65333333333332,2845.9,197,3,3-and-D / Role Player,1.2981373646660994
Aaron Nesmith,0.17300000000000001,0.07366666666666667,0.07133333333333335,0.03333333333333333,0.10766666666666665,0.6126666666666667,7.866666666666667,102.39999999999999,4451.4,162,3,3-and-D / Role Player,1.3427217832166394
Aaron Wiggins,0.18566666666666667,0.10266666666666667,0.074,0.042,0.103,0.5993333333333334,9.333333333333334,101.40333333333332,4382.0,219,3,3-and-D / Role Player,1.0353661611869291
Ace Bailey,0.21,0.098,0.072,0.048,0.097,0.533,9.2,104.58,1987.2,72,0,Pass-First Guard,2.367302962910283
Adem Bona,0.1215,0.0385,0.1245,0.098,0.15100000000000002,0.6759999999999999,17.25,101.45,2140.2,129,4,Glass Anchor / Traditional Center,2.7923791595504257
Ajay Mitchell,0.1845,0.1735,0.057499999999999996,0.0275,0.0865,0.586,9.2,101.555,2068.2000000000003,93,3,3-and-D / Role Player,1.2309533487059294
Al Horford,0.13933333333333334,0.13233333333333333,0.111,0.04566666666666667,0.17566666666666667,0.589,7.666666666666667,99.2,4365.5,170,1,Rim Protector / Defensive Big,1.9570542066851284
Alec Burks,0.197,0.10250000000000001,0.065,0.0185,0.11099999999999999,0.5720000000000001,6.95,99.33,2076.8,115,3,3-and-D / Role Player,1.3038478366386963
Alex Caruso,0.14833333333333332,0.161,0.07066666666666667,0.03133333333333333,0.108,0.5736666666666667,9.366666666666667,101.55,4099.1,181,3,3-and-D / Role Player,0.9269547413560035
Alex Len,0.10750000000000001,0.1425,0.128,0.096,0.16049999999999998,0.575,15.6,101.64,828.2,94,4,Glass Anchor / Traditional Center,2.3535709862602525
Alex Sarr,0.241,0.15000000000000002,0.11699999999999999,0.0665,0.16849999999999998,0.513,9.25,103.82499999999999,3121.3,115,1,Rim Protector / Defensive Big,2.0678820355707184
