PLAYER_NAME,SEASON,CLUSTER,ARCHETYPE,DIST_TO_CENTROID,UMAP_1,UMAP_2,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE
Zydrunas Ilgauskas,2004-05,1,Cluster 1,2.0013408142590654,7.557866,4.2524824,0.242,0.065,0.134,0.118,0.149,0.55,12.8,90.66
Erick Strickland,2004-05,0,Cluster 0,0.6174832502484489,-0.34523195,3.5799239,0.179,0.193,0.054,0.011,0.096,0.453,12.5,92.08
Eddy Curry,2004-05,3,Cluster 3,2.68166384655207,5.9077187,3.6662965,0.258,0.041,0.095,0.069,0.118,0.583,15.3,93.28
Eduardo Najera,2004-05,3,Cluster 3,1.5736467879659586,4.8843822,5.113606,0.153,0.084,0.101,0.082,0.12,0.489,12.5,96.5
Elton Brand,2004-05,1,Cluster 1,1.361590845463109,7.4725685,4.0363626,0.248,0.128,0.135,0.107,0.162,0.554,9.9,91.11
Emeka Okafor,2004-05,1,Cluster 1,1.84376108489003,7.8243365,4.8221927,0.215,0.042,0.154,0.101,0.215,0.479,9.3,93.88
Eric Snow,2004-05,0,Cluster 0,1.768284740229134,-0.7143515,3.3401222,0.111,0.258,0.043,0.02,0.067,0.445,11.6,90.33
Eric Williams,2004-05,2,Cluster 2,1.1039220107280117,2.048724,3.1390264,0.161,0.12,0.068,0.035,0.099,0.529,10.9,91.86
Erick Dampier,2004-05,5,Cluster 5,1.427566908541758,6.7894998,6.267091,0.159,0.048,0.159,0.121,0.194,0.58,16.4,93.24
Etan Thomas,2004-05,3,Cluster 3,1.300681847538227,5.374207,5.312822,0.164,0.034,0.125,0.082,0.176,0.521,12.9,94.01
David Harrison,2004-05,3,Cluster 3,2.956476049131951,6.068362,4.7273993,0.175,0.032,0.098,0.074,0.119,0.589,18.3,89.19
Flip Murray,2004-05,0,Cluster 0,2.1854157628511786,0.5411903,3.3648653,0.239,0.139,0.058,0.017,0.1,0.433,11.0,89.68
Fred Hoiberg,2004-05,2,Cluster 2,3.311925317975834,1.7000415,2.3964756,0.124,0.102,0.074,0.028,0.114,0.664,4.6,91.51
Fred Jones,2004-05,2,Cluster 2,1.8531566934271035,1.7538811,2.804222,0.177,0.166,0.057,0.016,0.099,0.551,10.9,89.99
Gary Payton,2004-05,4,Cluster 4,1.785783608222186,-0.33011886,0.9496294,0.168,0.279,0.048,0.02,0.075,0.537,10.3,95.36
George Lynch,2004-05,3,Cluster 3,2.9779922017106206,4.9481254,5.1993437,0.128,0.16,0.099,0.06,0.142,0.412,16.6,88.93
