DRAFT_YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1996,60.3,58.6,48.3,51.7,46.6,50.0,46.6,46.6,39.7,37.9,27.6,25.9,20.7,17.2,15.5
1997,64.9,50.9,42.1,43.9,43.9,40.4,43.9,40.4,38.6,31.6,28.1,22.8,10.5,10.5,10.5
1998,55.2,63.8,62.1,65.5,60.3,51.7,50.0,46.6,46.6,41.4,32.8,22.4,17.2,13.8,10.3
1999,53.4,58.6,53.4,44.8,46.6,44.8,43.1,37.9,32.8,27.6,25.9,24.1,17.2,15.5,12.1
2000,56.9,60.3,55.2,53.4,53.4,48.3,41.4,37.9,34.5,25.9,19.0,20.7,5.2,6.9,5.2
2001,63.2,59.6,54.4,52.6,52.6,43.9,42.1,38.6,43.9,31.6,33.3,29.8,19.3,15.8,10.5
2002,52.6,59.6,52.6,42.1,42.1,45.6,38.6,33.3,31.6,24.6,21.1,21.1,19.3,14.0,7.0
2003,58.6,65.5,60.3,58.6,56.9,55.2,55.2,51.7,50.0,43.1,34.5,34.5,27.6,17.2,10.3
2004,61.0,66.1,54.2,44.1,39.0,40.7,42.4,40.7,37.3,27.1,28.8,27.1,22.0,16.9,8.5
2005,66.7,66.7,60.0,61.7,53.3,55.0,46.7,45.0,43.3,36.7,30.0,26.7,21.7,18.3,8.3
2006,66.7,61.7,55.0,48.3,40.0,33.3,30.0,28.3,25.0,18.3,16.7,13.3,13.3,13.3,11.7
2007,53.3,58.3,53.3,53.3,40.0,43.3,40.0,36.7,33.3,33.3,25.0,20.0,13.3,10.0,8.3
2008,61.7,61.7,66.7,53.3,46.7,48.3,55.0,53.3,41.7,36.7,31.7,25.0,23.3,21.7,18.3
2009,66.7,63.3,65.0,68.3,65.0,53.3,46.7,41.7,31.7,31.7,20.0,21.7,20.0,15.0,
2010,51.7,56.7,46.7,48.3,41.7,38.3,31.7,33.3,30.0,15.0,20.0,16.7,5.0,,
2011,66.7,65.0,61.7,55.0,51.7,53.3,40.0,45.0,33.3,30.0,28.3,25.0,,,
2012,66.7,70.0,63.3,53.3,45.0,41.7,36.7,33.3,26.7,25.0,18.3,,,,
2013,63.3,63.3,60.0,55.0,51.7,45.0,38.3,40.0,33.3,25.0,,,,,
2014,58.3,58.3,55.0,50.0,50.0,48.3,36.7,33.3,36.7,,,,,,
2015,58.3,61.7,63.3,53.3,45.0,43.3,40.0,40.0,,,,,,,
2016,56.7,58.3,53.3,50.0,38.3,35.0,31.7,,,,,,,,
2017,61.7,71.7,65.0,55.0,45.0,41.7,,,,,,,,,
2018,68.3,70.0,65.0,60.0,60.0,,,,,,,,,,
