DRAFT_YEAR,N_PLAYERS,TOTAL_PERF,AVG_CAREER_YRS,LTV_PER_PLAYER,LTV_PER_PLAYER_YR,CAREER_COMPLETE
1996,44,6970.084,6.497093023255814,158.41,24.382,True
1997,43,5197.505,6.2114093959731544,120.87,19.46,True
1998,49,6787.329,6.2533692722371965,138.52,22.151,True
1999,41,6079.289,6.291666666666667,148.28,23.567,True
2000,45,4328.909,5.6743421052631575,96.2,16.953,True
2001,42,6167.009,6.344213649851632,146.83,23.144,True
2002,44,4724.738,6.107638888888889,107.38,17.581,True
2003,40,7089.874,6.550761421319797,177.25,27.057,True
2004,42,6042.842,6.283536585365853,143.88,22.897,True
2005,49,6807.969,6.21875,138.94,22.342,True
2006,47,4635.594,5.624561403508772,98.63,17.536,True
2007,42,5732.071,6.063897763578275,136.48,22.507,True
2008,48,7420.864,6.51937984496124,154.6,23.714,True
2009,49,6951.577,5.76775956284153,141.87,24.597,True
2010,41,4718.177,5.35632183908046,115.08,21.484,True
2011,49,6643.33,5.4624624624624625,135.58,24.82,True
2012,51,5359.108,4.791666666666667,105.08,21.93,True
2013,46,4869.784,4.750877192982456,105.86,22.283,True
2014,49,5034.395,4.53125,102.74,22.674,True
2015,43,4473.9039999999995,4.1234567901234565,104.04,25.232,False
2016,43,3458.218,3.577319587628866,80.42,22.482,False
2017,51,3686.877,3.2205882352941178,72.29,22.447,False
2018,47,3636.812,2.917525773195876,77.38,26.522,False
