Feature,XGB_Importance,LR_Coef
PERF,0.30936745,-0.17704848437125978
GP,0.15490288,-0.5910814887038709
PTS_PG,0.07727938,-0.055861191692121365
AGE,0.05216692,0.43565792243579654
MIN_PG,0.044939846,-0.6419519967608982
CAREER_YEAR,0.036589146,0.14247116338191923
FG_PCT,0.03428621,-0.17560369993786468
FG3_PCT,0.030953266,-0.0009009562992176249
REB_PG,0.03012406,-0.16122171735393792
ROUND_NUMBER,0.02927037,0.13707401989245493
OVERALL_PICK,0.0289756,-0.033499244126480414
STL_PG,0.028353877,-0.1432897850086517
MIN_DELTA,0.026721053,0.19118240251840418
AST_PG,0.025057495,-0.18549729982835744
TOV_PG,0.024780167,0.37537944297180537
PERF_DELTA,0.024220228,-0.04627762510982332
BLK_PG,0.022921978,-0.02186276061160663
FT_PCT,0.019090094,-0.06880937614421273
