OvPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,draft_year
1,Braves,Y,"$275,000",Chipper Jones ,SS,85.3,2499.0,8984.0,468.0,0.303,0.93,,,,,,,HS,"The Bolles School (Jacksonville, FL)",1990
2,Tigers,Y,"$500,000",Tony Clark ,OF,12.3,1559.0,4532.0,251.0,0.262,0.824,,,,,,,HS,"Christian HS (El Cajon, CA)",1990
3,Phillies,Y,"$225,000",Mike Lieberthal ,C,15.3,1212.0,4218.0,150.0,0.274,0.783,,,,,,,HS,"Westlake HS (Westlake Village, CA)",1990
4,White Sox,Y,"$350,000",Alex Fernandez ,RHP,28.5,64.0,126.0,3.0,0.175,0.537,263.0,107.0,87.0,3.74,1.28,0.0,4Yr,"Miami Dade College, Kendall Campus (Miami, FL)",1990
5,Pirates,Y,"$232,000",Kurt Miller ,RHP,-2.6,44.0,14.0,0.0,0.286,0.571,44.0,2.0,7.0,7.48,1.91,0.0,HS,"West HS (Bakersfield, CA)",1990
6,Mariners,Y,"$220,000",Marc Newfield ,1B,-1.6,355.0,957.0,22.0,0.249,0.678,,,,,,,HS,"Marina HS (Huntington Beach, CA)",1990
7,Reds,Y,"$220,000",Dan Wilson ,C,12.9,1299.0,4186.0,88.0,0.262,0.691,,,,,,,4Yr,"University of Minnesota (Minneapolis, MN)",1990
8,Indians,Y,"$300,000",Tim Costo ,SS,-0.7,43.0,134.0,3.0,0.224,0.61,,,,,,,4Yr,"University of Iowa (Iowa City, IA)",1990
9,Dodgers,Y,"$215,000",Ron Walden ,LHP,,,,,,,,,,,,,HS,"Blanchard HS (Blanchard, OK)",1990
10,Yankees,Y,"$250,000",Carl Everett ,OF,20.4,1405.0,4809.0,202.0,0.271,0.802,,,,,,,HS,"Hillsborough HS (Tampa, FL)",1990
11,Expos,Y,"$175,000",Shane Andrews ,3B,2.0,569.0,1704.0,86.0,0.22,0.719,,,,,,,HS,"Carlsbad HS (Carlsbad, NM)",1990
12,Twins,Y,"$252,500",Todd Ritchie ,RHP,6.1,99.0,187.0,0.0,0.176,0.409,184.0,43.0,54.0,4.71,1.43,0.0,HS,"Duncanville HS (Duncanville, TX)",1990
13,Cardinals,Y,"$240,000",Donovan Osborne ,LHP,5.4,156.0,259.0,1.0,0.162,0.422,163.0,49.0,46.0,4.03,1.31,0.0,4Yr,"University of Nevada, Las Vegas (Paradise, NV)",1990
14,Athletics via Brewers,Y,"$500,000",*Todd Van Poppel ,RHP,-0.3,182.0,57.0,0.0,0.158,0.362,359.0,40.0,52.0,5.58,1.55,4.0,HS,"James W. Martin HS (Arlington, TX)",1990
15,Giants via Astros,Y,"$250,000",*Adam Hyzdu ,OF,-0.2,221.0,358.0,19.0,0.229,0.749,,,,,,,HS,"Archbishop Moeller HS (Cincinnati, OH)",1990
16,Rangers,Y,"$220,000",Dan Smith ,LHP,-0.1,1.0,0.0,0.0,,,17.0,1.0,5.0,4.66,1.93,0.0,4Yr,"Creighton University (Omaha, NE)",1990
17,Mets,Y,"$192,500",Jeromy Burnitz ,OF,19.9,1694.0,5710.0,315.0,0.253,0.826,,,,,,,4Yr,"Oklahoma State University (Stillwater, OK)",1990
18,Cardinals via Red Sox,Y,"$195,000",*Aaron Holbert ,SS,-0.4,23.0,30.0,0.0,0.2,0.565,,,,,,,HS,"Jordan HS (Long Beach, CA)",1990
19,Giants via Padres,Y,"$175,000",*Eric Christopherson ,C,,,,,,,,,,,,,4Yr,"San Diego State University (San Diego, CA)",1990
20,Orioles,Y,"$225,000",Mike Mussina ,RHP,82.8,22.0,52.0,0.0,0.173,0.381,537.0,270.0,153.0,3.68,1.19,0.0,4Yr,"Stanford University (Palo Alto, CA)",1990
21,Astros via Giants,Y,"$250,000",*Tom Nevers ,SS,,,,,,,,,,,,,HS,"Edina HS (Edina, MN)",1990
22,Blue Jays,Y,"$180,000",Steve Karsay ,RHP,11.2,58.0,4.0,0.0,0.0,0.0,357.0,32.0,39.0,4.01,1.38,41.0,HS,"Christ the King HS (Queens, NY)",1990
23,Cubs,Y,"$180,000",Lance Dickson ,LHP,-0.4,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,7.24,1.76,0.0,4Yr,"University of Arizona (Tucson, AZ)",1990
24,Expos via Angels,Y,"$175,000",*Rondell White ,OF,28.2,1474.0,5357.0,198.0,0.284,0.799,,,,,,,HS,"Jones County HS (Gray, GA)",1990
25,Padres via Royals,Y,"$175,000",*Robbie Beckett ,LHP,-0.3,7.0,0.0,0.0,,,7.0,0.0,0.0,11.57,2.43,0.0,HS,"A. N. McCallum HS (Austin, TX)",1990
26,Athletics,Y,"$175,000",Don Peters ,RHP,,,,,,,,,,,,,4Yr,"University of St. Francis (Joliet, IL)",1990
27,Pirates,Y,,*Mike Zimmerman ,RHP,,,,,,,,,,,,,4Yr,"University of South Alabama (Mobile, AL)",1990
28,Expos,Y,,*Gabe White ,LHP,6.2,422.0,38.0,1.0,0.105,0.312,472.0,34.0,26.0,4.51,1.22,17.0,HS,"Sebring HS (Sebring, FL)",1990
29,Twins,Y,,*Midre Cummings ,OF,0.9,460.0,1113.0,22.0,0.257,0.703,,,,,,,HS,"Miami Edison HS (Miami, FL)",1990
30,Cardinals,Y,,*Paul Ellis ,C,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1990
31,Astros,Y,,*Brian Williams ,RHP,-4.1,200.0,85.0,0.0,0.176,0.398,256.0,26.0,38.0,5.37,1.66,6.0,4Yr,"University of South Carolina (Columbia, SC)",1990
32,Padres,Y,,*Scott Sanders ,RHP,4.6,186.0,129.0,0.0,0.194,0.464,235.0,34.0,45.0,4.86,1.39,5.0,4Yr,"Nicholls State University (Thibodaux, LA)",1990
33,Giants,Y,,*Marcus Jensen ,C,-0.8,145.0,343.0,6.0,0.184,0.575,,,,,,,HS,"Skyline HS (Oakland, CA)",1990
34,Athletics,Y,,*Dave Zancanaro ,LHP,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1990
35,Expos,Y,,*Stan Spencer ,RHP,-0.6,23.0,31.0,0.0,0.161,0.413,23.0,3.0,9.0,5.54,1.37,0.0,4Yr,"Stanford University (Palo Alto, CA)",1990
36,Athletics,Y,,*Kirk Dressendorfer ,RHP,-0.8,0.0,0.0,0.0,,,7.0,3.0,3.0,5.45,1.56,0.0,4Yr,"University of Texas at Austin (Austin, TX)",1990
37,Expos,Y,,*Ben Van Ryn ,LHP,-0.2,15.0,1.0,0.0,0.0,0.0,26.0,0.0,2.0,5.74,2.04,0.0,HS,"East Noble HS (Kendaliville, IN)",1990
38,Mariners,Y,,*Tony Manahan ,SS,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1990
39,Indians,Y,,*Sam Hence ,OF,,,,,,,,,,,,,HS,"Stone HS (Wiggins, MS)",1990
40,Expos,Y,,*Stan Robertson ,OF,,,,,,,,,,,,,HS,"Plainview HS (Plainview, TX)",1990
1,Yankees,Y,"$1,550,000",Brien Taylor ,LHP,,,,,,,,,,,,,HS,"East Carteret HS (Beaufort, NC)",1991
2,Braves,Y,"$575,000",Mike Kelly ,OF,0.3,327.0,684.0,22.0,0.241,0.721,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1991
3,Twins,Y,"$395,000",Dave McCarty ,1B,-2.1,630.0,1493.0,36.0,0.242,0.676,3.0,0.0,0.0,2.45,0.82,0.0,4Yr,"Stanford University (Palo Alto, CA)",1991
4,Cardinals,Y,"$385,000",Dmitri Young ,3B,12.2,1364.0,4762.0,171.0,0.292,0.826,,,,,,,HS,"Rio Mesa HS (Oxnard, CA)",1991
5,Brewers,N,,Ken Henderson ,RHP,,,,,,,,,,,,,HS,"Ringgold HS (Ringgold, GA)",1991
6,Astros,N,,John Burke ,RHP,-0.5,28.0,21.0,0.0,0.19,0.381,28.0,4.0,6.0,6.75,1.83,0.0,4Yr,"University of Florida (Gainesville, FL)",1991
7,Royals,Y,"$345,000",Joe Vitiello ,OF,-0.6,282.0,693.0,26.0,0.248,0.749,,,,,,,4Yr,"University of Alabama (Tuscaloosa, AL)",1991
8,Padres,Y,"$385,000",Joey Hamilton ,RHP,14.3,192.0,339.0,4.0,0.127,0.337,242.0,74.0,73.0,4.44,1.42,1.0,4Yr,"Georgia Southern University (Statesboro, GA)",1991
9,Orioles,Y,"$350,000",Mark Smith ,OF,-0.1,414.0,959.0,32.0,0.243,0.719,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",1991
10,Phillies,Y,"$325,000",Tyler Green ,RHP,-0.5,68.0,113.0,1.0,0.195,0.506,70.0,18.0,25.0,5.16,1.53,0.0,4Yr,"Wichita State University (Wichita, KS)",1991
11,Mariners,Y,"$332,500",Shawn Estes ,LHP,10.4,296.0,498.0,4.0,0.159,0.408,283.0,101.0,93.0,4.71,1.53,0.0,HS,"Douglas HS (Minden, NV)",1991
12,Cubs,Y,"$325,000",Doug Glanville ,OF,10.9,1115.0,3964.0,59.0,0.277,0.695,,,,,,,4Yr,"University of Pennsylvania (Philadelphia, PA)",1991
13,Indians,Y,"$257,000",Manny Ramirez ,3B,69.3,2302.0,8244.0,555.0,0.312,0.996,,,,,,,HS,"George Washington HS (New York, NY)",1991
14,Expos,Y,"$290,000",Cliff Floyd ,1B,25.9,1621.0,5319.0,233.0,0.278,0.84,,,,,,,HS,"Thornwood HS (South Holland, IL)",1991
15,Brewers via Tigers,Y,"$280,000",*Ty Hill ,LHP,,,,,,,,,,,,,HS,"Yucaipa HS (Yucaipa, CA)",1991
16,Blue Jays via Giants,Y,"$725,000",*Shawn Green ,OF,34.7,1951.0,7082.0,328.0,0.283,0.85,,,,,,,HS,"Tustin HS (Tustin, CA)",1991
17,Angels,Y,"$250,000",Eduardo Pérez ,1B,0.9,754.0,1800.0,79.0,0.247,0.757,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1991
18,Mets via Dodgers,Y,"$245,000",*Al Shirley ,OF,,,,,,,,,,,,,HS,"George Washington HS (Danville, VA)",1991
19,Rangers,Y,"$310,000",Benji Gil ,SS,2.8,604.0,1610.0,32.0,0.237,0.641,,,,,,,HS,"Castle Park HS (Chula Vista, CA)",1991
20,Reds,Y,"$200,000",Pokey Reese ,SS,6.3,856.0,2833.0,44.0,0.248,0.659,,,,,,,HS,"Lower Richland HS (Hopkins, SC)",1991
21,Cardinals via Blue Jays,Y,"$225,000",*Allen Watson ,LHP,2.7,105.0,175.0,0.0,0.257,0.636,206.0,51.0,55.0,5.03,1.49,1.0,4Yr,"New York Institute of Technology (Old Westbury, NY)",1991
22,Cardinals via Mets,Y,"$200,000",*Brian Barber ,RHP,-0.6,12.0,8.0,0.0,0.125,0.347,26.0,5.0,8.0,6.77,1.68,1.0,HS,"Dr. Phillips HS (Orlando, FL)",1991
23,Red Sox,Y,"$210,000",Aaron Sele ,RHP,20.1,72.0,58.0,0.0,0.155,0.386,404.0,148.0,112.0,4.61,1.49,0.0,4Yr,"Washington State University (Pullman, WA)",1991
24,Pirates,Y,"$220,000",Jon Farrell ,C,,,,,,,,,,,,,JC,"Florida State College at Jacksonville (Jacksonville, FL)",1991
25,White Sox,Y,"$185,000",Scott Ruffcorn ,RHP,-2.5,17.0,6.0,0.0,0.0,0.143,30.0,0.0,8.0,8.57,2.22,0.0,4Yr,"Baylor University (Waco, TX)",1991
26,Athletics,Y,"$205,000",Brent Gates ,SS,5.5,685.0,2329.0,25.0,0.264,0.685,,,,,,,4Yr,"University of Minnesota (Minneapolis, MN)",1991
27,Twins,Y,,*Scott Stahoviak ,3B,1.0,344.0,1019.0,27.0,0.256,0.745,,,,,,,4Yr,"Creighton University (Omaha, NE)",1991
28,Cardinals,Y,,*Tom McKinnon ,RHP,,,,,,,,,,,,,HS,"Jordan HS (Long Beach, CA)",1991
29,Astros,Y,,*Shawn Livesey ,SS,,,,,,,,,,,,,HS,"Simeon HS (Chicago, IL)",1991
30,Royals,Y,,*Jason Pruitt ,RHP,,,,,,,,,,,,,HS,"Rockingham County HS (Reidsville, NC)",1991
31,Padres,Y,,*Pepper Anthony ,RHP,,,,,,,,,,,,,HS,"Tavares HS (Tavares, FL)",1991
32,Tigers,Y,,*Justin Thompson ,LHP,12.8,5.0,14.0,0.0,0.071,0.143,103.0,36.0,43.0,4.02,1.34,0.0,HS,"Klein Oak HS (Spring, TX)",1991
33,Giants,Y,,*Steve Whitaker ,LHP,,,,,,,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",1991
34,Angels,Y,,*Jorge Fábregas ,3B,-2.2,646.0,1827.0,23.0,0.241,0.599,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",1991
35,Blue Jays,Y,,*Jeff Ware ,RHP,-0.7,0.0,0.0,0.0,,,18.0,3.0,6.0,7.47,1.95,0.0,4Yr,"Old Dominion University (Norfolk, VA)",1991
36,Mets,Y,,*Bobby Jones ,RHP,7.5,235.0,442.0,1.0,0.133,0.322,245.0,89.0,83.0,4.36,1.35,0.0,4Yr,"California State University, Fresno (Fresno, CA)",1991
37,Red Sox,Y,,*J.J. Johnson ,OF,,,,,,,,,,,,,HS,"Pine Plains HS (Pine Plains, NY)",1991
