PLAYER_NAME,PLAYER_POSITION,HEIGHT_IN,DRAFT_PICK
Alaa Abdelnaby,SF,82.0,25
Zaid Abdul-Aziz,C,81.0,5
Kareem Abdul-Jabbar,C,86.0,1
Mahmoud Abdul-Rauf,SG,73.0,3
Tariq Abdul-Wahad,SF,78.0,11
Shareef Abdur-Rahim,SF,81.0,3
Tom Abernethy,SF,79.0,103
Forest Able,SG,75.0,61
John Abramovic,SF,75.0,61
Alex Abrines,SG,78.0,62
Precious Achiuwa,SF,80.0,20
Alex Acker,SG,77.0,90
Donald Ackerman,SG,72.0,61
Mark Acres,C,83.0,70
Charles Acton,SF,78.0,61
Quincy Acy,SF,79.0,67
Alvan Adams,C,81.0,4
Don Adams,SF,79.0,330
Hassan Adams,SF,76.0,84
Jaylen Adams,SG,72.0,61
Jordan Adams,SG,77.0,22
Michael Adams,SG,70.0,126
Steven Adams,C,83.0,12
Rafael Addison,SF,80.0,69
Bam Adebayo,PF,81.0,14
Deng Adel,SF,79.0,61
Rick Adelman,SG,74.0,259
Jeff Adrien,SF,79.0,61
Arron Afflalo,SG,77.0,27
Ochai Agbaji,SG,77.0,14
Maurice Ager,SF,77.0,28
Mark Aguirre,SF,78.0,1
Blake Ahearn,SG,74.0,61
Danny Ainge,SG,77.0,61
Alexis Ajinca,C,86.0,20
Henry Akin,C,82.0,41
Josh Akognon,SG,71.0,61
DeVaughn Akoon-Purcell,SG,77.0,61
Solomon Alabi,C,85.0,80
Mark Alarie,SF,80.0,18
Gary Alcorn,C,81.0,76
Santi Aldama,PF,84.0,30
Furkan Aldemir,PF,82.0,83
Cole Aldrich,C,83.0,11
LaMarcus Aldridge,PF,83.0,2
Chuck Aleksinas,C,83.0,166
Cliff Alexander,SF,80.0,61
Cory Alexander,SG,73.0,29
Courtney Alexander,SG,77.0,13
Gary Alexander,SF,79.0,61
Joe Alexander,SF,80.0,8
Kyle Alexander,PF,82.0,61
Trey Alexander,SG,77.0,61
Ty-Shon Alexander,SG,75.0,61
Victor Alexander,SF,82.0,17
Nickeil Alexander-Walker,SG,77.0,17
Steve Alford,SG,74.0,56
Rawle Alkins,SG,77.0,61
Bob Allen,SF,81.0,221
Grayson Allen,SG,75.0,21
Jarrett Allen,C,81.0,22
Jerome Allen,SG,76.0,79
Kadeem Allen,SG,75.0,83
Lavoy Allen,PF,81.0,80
Lucius Allen,SG,74.0,3
Malik Allen,SF,82.0,61
Randy Allen,SF,80.0,61
Ray Allen,SG,77.0,5
Timmy Allen,SF,78.0,61
Tony Allen,SG,76.0,25
Odis Allison,SF,78.0,196
Lance Allred,C,83.0,61
Darrell Allums,SF,80.0,223
Morris Almond,SG,78.0,25
Derrick Alston,SF,83.0,63
Rafer Alston,SG,74.0,69
Peter Aluma,C,82.0,61
Jose Alvarado,SG,72.0,61
John Amaechi,PF,82.0,61
Ashraf Amaya,SF,79.0,61
Al-Farouq Aminu,SF,80.0,8
Lou Amundson,SF,81.0,61
Bob Anderegg,SF,75.0,80
Chris Andersen,PF,82.0,61
David Andersen,C,83.0,66
Alan Anderson,SF,78.0,61
Antonio Anderson,SG,78.0,61
Cliff Anderson,SG,74.0,125
Daniel Anderson,SG,74.0,242
Derek Anderson,SG,77.0,13
Dwight Anderson,SG,75.0,71
Eric Anderson,SF,81.0,61
Greg Anderson,PF,82.0,23
James Anderson,SG,78.0,20
Jerome Anderson,SG,77.0,113
Justin Anderson,SF,77.0,21
Kenny Anderson,SG,73.0,2
Kim Anderson,SF,79.0,326
Kyle Anderson,SF,80.0,30
Michael Anderson,SG,71.0,133
Mitchell Anderson,SF,80.0,66
Nick Anderson,SF,78.0,11
Richard Anderson,SF,82.0,62
Ron Anderson,SF,79.0,57
Ryan Anderson,SF,82.0,21
Shandon Anderson,SG,78.0,84
Willie Anderson,SG,80.0,10
Wally Anderzunas,C,79.0,55
Martynas Andriuskevicius,C,86.0,74
Don Anielak,SF,79.0,86
Ike Anigbogu,PF,82.0,77
Michael Ansley,SF,79.0,67
Chris Anstey,C,84.0,18
Alex Antetokounmpo,SF,80.0,61
Giannis Antetokounmpo,SF,83.0,15
Kostas Antetokounmpo,SF,82.0,90
Thanasis Antetokounmpo,SF,79.0,81
Carmelo Anthony,SF,79.0,3
Cole Anthony,SG,74.0,15
Greg Anthony,SG,73.0,12
Joel Anthony,C,81.0,61
Pero Antic,PF,83.0,61
OG Anunoby,SF,79.0,23
