league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA,Performance_Gls_p90,Performance_Ast_p90,Performance_G+A_p90,Standard_Sh_p90,Standard_SoT_p90,Performance_Fls_p90,Performance_Fld_p90,Performance_Off_p90,Performance_Crs_p90,Performance_Int_p90,Performance_TklW_p90,Pass_KP_p90,Pass_Final3rd_p90,Pass_PPA_p90,Pass_PrgDist_p90,Touches_p90,Carries_p90,Carry_PrgDist_p90,Carry_Final3rd_p90,Carry_PPA_p90,pos_simple
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26.0,13.3,0,2,2,2,0,9,2,0.68,0.15,10,5,1,17,16,15,,,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15037593984962405,0.15037593984962405,0.6766917293233082,0.15037593984962405,0.7518796992481203,0.37593984962406013,0.07518796992481203,1.2781954887218046,1.2030075187969924,1.1278195488721805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,19.2,6,10,16,3,0,67,23,3.49,1.2,15,39,7,115,3,15,,,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.5208333333333334,0.8333333333333334,3.4895833333333335,1.1979166666666667,0.78125,2.03125,0.36458333333333337,5.989583333333334,0.15625,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,38.0,0,0,0,3,0,0,0,0.0,0.0,1,10,0,0,0,0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25.0,31.4,4,7,11,7,1,48,15,1.53,0.48,21,16,2,161,27,23,,,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12738853503184713,0.2229299363057325,0.35031847133757965,1.5286624203821657,0.47770700636942676,0.6687898089171975,0.5095541401273885,0.06369426751592357,5.127388535031847,0.8598726114649682,0.7324840764331211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26.0,26.3,3,1,4,4,0,22,5,0.84,0.19,19,19,0,9,16,15,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11406844106463879,0.03802281368821293,0.1520912547528517,0.8365019011406843,0.19011406844106463,0.7224334600760456,0.7224334600760456,0.0,0.34220532319391633,0.6083650190114068,0.5703422053231939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23.0,25.4,8,4,12,1,0,56,25,2.2,0.98,16,21,8,90,4,15,,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31496062992125984,0.15748031496062992,0.4724409448818898,2.204724409448819,0.984251968503937,0.6299212598425197,0.8267716535433072,0.31496062992125984,3.5433070866141736,0.15748031496062992,0.5905511811023623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24.0,12.5,1,0,1,1,0,3,1,0.24,0.08,10,4,1,2,6,8,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.24,0.08,0.8,0.32,0.08,0.16,0.48,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23.0,26.9,1,3,4,7,0,14,4,0.52,0.15,30,29,7,28,24,36,,,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03717472118959108,0.11152416356877325,0.14869888475836432,0.5204460966542751,0.14869888475836432,1.1152416356877324,1.0780669144981414,0.26022304832713755,1.0408921933085502,0.892193308550186,1.338289962825279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25.0,20.8,9,3,12,5,0,53,21,2.54,1.01,38,23,14,11,5,8,,,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43269230769230765,0.14423076923076922,0.5769230769230769,2.548076923076923,1.0096153846153846,1.8269230769230769,1.1057692307692308,0.673076923076923,0.5288461538461539,0.24038461538461536,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29.0,28.3,8,7,15,4,1,72,22,2.55,0.78,27,46,6,80,10,18,,,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2826855123674912,0.24734982332155475,0.5300353356890459,2.5441696113074204,0.7773851590106007,0.9540636042402827,1.6254416961130742,0.21201413427561838,2.8268551236749118,0.35335689045936397,0.6360424028268551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25.0,25.8,3,8,11,4,0,49,17,1.9,0.66,12,23,1,86,6,8,,,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11627906976744186,0.31007751937984496,0.4263565891472868,1.8992248062015504,0.6589147286821705,0.46511627906976744,0.8914728682170543,0.03875968992248062,3.333333333333333,0.23255813953488372,0.31007751937984496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28.0,17.6,7,2,9,4,1,38,15,2.16,0.85,41,23,7,12,16,28,,,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977272727272727,0.11363636363636363,0.5113636363636364,2.1590909090909087,0.8522727272727272,2.329545454545454,1.3068181818181817,0.3977272727272727,0.6818181818181818,0.9090909090909091,1.5909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17.0,15.2,1,0,1,3,2,3,1,0.2,0.07,11,47,0,10,7,13,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.06578947368421052,0.19736842105263158,0.06578947368421052,0.7236842105263158,3.0921052631578947,0.0,0.6578947368421053,0.46052631578947373,0.8552631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22.0,10.9,2,1,3,4,0,10,6,0.92,0.55,15,6,3,11,8,18,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18348623853211007,0.09174311926605504,0.27522935779816515,0.9174311926605504,0.5504587155963303,1.3761467889908257,0.5504587155963303,0.27522935779816515,1.0091743119266054,0.7339449541284403,1.6513761467889907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31.0,31.1,4,2,6,4,0,26,9,0.84,0.29,44,31,1,12,35,53,,,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12861736334405144,0.06430868167202572,0.19292604501607716,0.8360128617363344,0.28938906752411575,1.4147909967845658,0.9967845659163986,0.03215434083601286,0.3858520900321543,1.12540192926045,1.7041800643086815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23.0,33.8,2,0,2,2,1,6,3,0.18,0.09,28,17,1,3,22,34,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591715976331361,0.0,0.0591715976331361,0.1775147928994083,0.08875739644970415,0.8284023668639054,0.5029585798816568,0.02958579881656805,0.08875739644970415,0.6508875739644971,1.0059171597633136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22.0,18.0,3,0,3,4,0,17,6,0.95,0.33,32,30,0,2,26,29,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.9444444444444444,0.3333333333333333,1.7777777777777777,1.6666666666666667,0.0,0.1111111111111111,1.4444444444444444,1.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,"MF,DF",24.0,19.2,1,0,1,2,0,10,3,0.52,0.16,29,35,0,1,16,23,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,0.052083333333333336,0.5208333333333334,0.15625,1.5104166666666667,1.8229166666666667,0.0,0.052083333333333336,0.8333333333333334,1.1979166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31.0,35.5,0,0,0,5,1,0,0,0.0,0.0,2,5,0,0,0,3,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.14084507042253522,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26.0,32.6,2,0,2,1,0,11,5,0.34,0.15,9,47,1,5,24,20,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06134969325153374,0.0,0.06134969325153374,0.3374233128834356,0.15337423312883436,0.2760736196319018,1.4417177914110428,0.03067484662576687,0.15337423312883436,0.7361963190184049,0.6134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22.0,12.7,1,2,3,2,0,19,5,1.5,0.4,11,9,3,51,18,18,,,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07874015748031496,0.15748031496062992,0.2362204724409449,1.4960629921259843,0.3937007874015748,0.8661417322834646,0.7086614173228347,0.2362204724409449,4.015748031496063,1.4173228346456694,1.4173228346456694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,MF,23.0,18.0,1,3,4,4,1,19,4,1.05,0.22,13,28,5,11,8,15,,,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.2222222222222222,1.0555555555555556,0.2222222222222222,0.7222222222222222,1.5555555555555556,0.2777777777777778,0.6111111111111112,0.4444444444444444,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29.0,24.7,1,4,5,7,0,31,5,1.26,0.2,43,69,3,60,11,23,,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04048582995951417,0.16194331983805668,0.20242914979757085,1.2550607287449393,0.20242914979757085,1.7408906882591093,2.7935222672064777,0.12145748987854252,2.4291497975708505,0.4453441295546559,0.9311740890688259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,MF,26.0,12.7,1,2,3,3,0,28,6,2.21,0.47,12,18,3,34,4,4,,,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07874015748031496,0.15748031496062992,0.2362204724409449,2.204724409448819,0.4724409448818898,0.9448818897637796,1.4173228346456694,0.2362204724409449,2.677165354330709,0.31496062992125984,0.31496062992125984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31.0,26.1,0,4,4,4,0,13,3,0.5,0.11,21,16,7,140,22,36,,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1532567049808429,0.1532567049808429,0.49808429118773945,0.11494252873563218,0.8045977011494252,0.6130268199233716,0.2681992337164751,5.363984674329502,0.842911877394636,1.379310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26.0,23.0,1,1,2,7,0,13,6,0.57,0.26,27,20,1,40,22,31,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.5652173913043478,0.2608695652173913,1.173913043478261,0.8695652173913043,0.043478260869565216,1.7391304347826086,0.9565217391304348,1.3478260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,MF,22.0,34.6,8,10,18,10,0,55,20,1.59,0.58,49,51,2,28,6,22,,,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23121387283236994,0.2890173410404624,0.5202312138728323,1.5895953757225434,0.5780346820809248,1.416184971098266,1.4739884393063583,0.057803468208092484,0.8092485549132947,0.17341040462427745,0.6358381502890174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28.0,28.9,16,8,24,2,0,84,40,2.91,1.39,29,33,16,7,7,7,,,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5536332179930796,0.2768166089965398,0.8304498269896194,2.906574394463668,1.384083044982699,1.0034602076124568,1.1418685121107266,0.5536332179930796,0.24221453287197234,0.24221453287197234,0.24221453287197234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27.0,22.4,0,0,0,2,0,8,3,0.36,0.13,8,7,0,4,9,15,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.13392857142857142,0.35714285714285715,0.3125,0.0,0.17857142857142858,0.4017857142857143,0.6696428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31.0,12.4,0,0,0,1,0,9,1,0.72,0.08,4,11,0,1,7,6,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7258064516129032,0.08064516129032258,0.3225806451612903,0.8870967741935484,0.0,0.08064516129032258,0.564516129032258,0.48387096774193544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27.0,33.6,3,7,10,4,0,41,13,1.22,0.39,41,56,0,118,22,58,,,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928571428571429,0.20833333333333331,0.2976190476190476,1.2202380952380951,0.38690476190476186,1.2202380952380951,1.6666666666666665,0.0,3.511904761904762,0.6547619047619048,1.726190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33.0,17.7,0,0,0,7,0,3,0,0.17,0.0,19,12,0,33,15,14,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16949152542372883,0.0,1.073446327683616,0.6779661016949153,0.0,1.864406779661017,0.8474576271186441,0.7909604519774012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,MF,24.0,35.6,11,5,16,9,0,126,41,3.54,1.15,72,37,14,58,9,36,,,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089887640449438,0.14044943820224717,0.449438202247191,3.539325842696629,1.151685393258427,2.0224719101123596,1.0393258426966292,0.3932584269662921,1.6292134831460674,0.25280898876404495,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"MF,FW",22.0,22.3,7,4,11,3,0,62,20,2.78,0.9,16,19,13,88,11,26,,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139013452914798,0.17937219730941703,0.49327354260089684,2.780269058295964,0.8968609865470851,0.7174887892376681,0.852017937219731,0.5829596412556054,3.9461883408071747,0.49327354260089684,1.1659192825112108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,MF,27.0,10.7,2,0,2,3,0,25,12,2.34,1.13,11,18,0,51,5,6,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869158878504673,0.0,0.1869158878504673,2.336448598130841,1.1214953271028039,1.0280373831775702,1.6822429906542058,0.0,4.766355140186916,0.4672897196261683,0.5607476635514019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19.0,27.0,3,2,5,10,0,18,4,0.67,0.15,31,10,2,13,48,27,,,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.6666666666666666,0.14814814814814814,1.1481481481481481,0.37037037037037035,0.07407407407407407,0.48148148148148145,1.7777777777777777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24.0,25.8,10,1,11,1,1,73,32,2.83,1.24,37,53,20,1,2,9,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38759689922480617,0.03875968992248062,0.4263565891472868,2.8294573643410854,1.2403100775193798,1.4341085271317828,2.054263565891473,0.7751937984496123,0.03875968992248062,0.07751937984496124,0.3488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21.0,34.5,0,1,1,4,1,12,1,0.35,0.03,20,7,0,6,39,35,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.028985507246376812,0.34782608695652173,0.028985507246376812,0.5797101449275363,0.2028985507246377,0.0,0.17391304347826086,1.1304347826086956,1.0144927536231885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,MF,25.0,26.0,12,6,18,8,0,63,29,2.42,1.12,46,33,6,86,13,9,,,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.23076923076923078,0.6923076923076923,2.423076923076923,1.1153846153846154,1.7692307692307692,1.2692307692307692,0.23076923076923078,3.3076923076923075,0.5,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29.0,31.0,0,0,0,3,0,1,0,0.03,0.0,2,6,0,0,0,0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.06451612903225806,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27.0,33.1,1,3,4,8,1,14,4,0.42,0.12,48,10,3,132,45,42,,,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030211480362537763,0.09063444108761329,0.12084592145015105,0.4229607250755287,0.12084592145015105,1.4501510574018126,0.3021148036253776,0.09063444108761329,3.9879154078549846,1.3595166163141994,1.268882175226586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27.0,12.3,0,0,0,5,0,2,0,0.16,0.0,22,8,1,11,14,19,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16260162601626016,0.0,1.7886178861788617,0.6504065040650406,0.08130081300813008,0.8943089430894309,1.1382113821138211,1.5447154471544715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,MF,25.0,21.5,3,5,8,6,0,57,17,2.65,0.79,34,28,4,108,4,22,,,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13953488372093023,0.23255813953488372,0.37209302325581395,2.6511627906976742,0.7906976744186046,1.5813953488372092,1.302325581395349,0.18604651162790697,5.023255813953488,0.18604651162790697,1.0232558139534884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,20.0,37.1,2,5,7,4,0,19,5,0.51,0.13,30,50,3,141,41,26,,,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053908355795148244,0.1347708894878706,0.18867924528301885,0.5121293800539083,0.1347708894878706,0.8086253369272237,1.3477088948787062,0.08086253369272237,3.8005390835579513,1.105121293800539,0.7008086253369272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29.0,23.5,2,3,5,9,0,33,12,1.4,0.51,42,31,1,47,30,33,,,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.1276595744680851,0.2127659574468085,1.4042553191489362,0.5106382978723404,1.7872340425531914,1.3191489361702127,0.0425531914893617,2.0,1.2765957446808511,1.4042553191489362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25.0,21.8,0,3,3,7,0,9,2,0.41,0.09,46,21,0,2,30,56,,,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13761467889908258,0.13761467889908258,0.4128440366972477,0.09174311926605504,2.110091743119266,0.963302752293578,0.0,0.09174311926605504,1.3761467889908257,2.568807339449541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,"MF,FW",24.0,37.9,20,7,27,3,0,85,41,2.24,1.08,25,44,11,200,11,30,,,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277044854881267,0.18469656992084432,0.712401055408971,2.242744063324538,1.0817941952506596,0.6596306068601583,1.1609498680738786,0.29023746701846964,5.277044854881266,0.29023746701846964,0.79155672823219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30.0,31.3,5,4,9,8,1,39,16,1.25,0.51,44,28,1,18,46,47,,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1597444089456869,0.12779552715654952,0.28753993610223644,1.2460063897763578,0.5111821086261981,1.4057507987220448,0.8945686900958466,0.03194888178913738,0.5750798722044729,1.4696485623003195,1.5015974440894568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
