league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,13.3,0,2,2,2,0,9,2,0.68,0.15,10,5,1,17,16,15,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,19.2,6,10,16,3,0,67,23,3.49,1.2,15,39,7,115,3,15,,,,,10,,,,,,,,,,
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,38.0,0,0,0,3,0,0,0,0.0,0.0,1,10,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,31.4,4,7,11,7,1,48,15,1.53,0.48,21,16,2,161,27,23,,,,,7,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,9.9,4,2,6,1,0,24,9,2.41,0.91,10,5,6,54,3,6,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,6.8,3,0,3,4,0,20,8,2.96,1.18,14,10,9,6,5,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,26.3,3,1,4,4,0,22,5,0.84,0.19,19,19,0,9,16,15,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,25.4,8,4,12,1,0,56,25,2.2,0.98,16,21,8,90,4,15,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,12.5,1,0,1,1,0,3,1,0.24,0.08,10,4,1,2,6,8,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32,7.8,0,0,0,5,0,2,0,0.26,0.0,15,17,0,1,7,4,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,26.9,1,3,4,7,0,14,4,0.52,0.15,30,29,7,28,24,36,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25,20.8,9,3,12,5,0,53,21,2.54,1.01,38,23,14,11,5,8,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,DF,27,2.9,1,0,1,0,0,2,1,0.69,0.35,1,2,2,14,3,5,,,,,0,,,,,,,,,,
