event,relative_day,n_articles,mean_sentiment,mean_bert,pct_bert_positive
Doncic to Lakers,-30,10,0.023670000000000004,0.33424289226531984,0.7
Doncic to Lakers,-29,5,-0.08553999999999999,0.11654326915740967,0.6
Doncic to Lakers,-28,2,0.0,0.9953536093235016,1.0
Doncic to Lakers,-27,5,-0.18096,-0.8846317648887634,0.0
Doncic to Lakers,-25,9,-0.028488888888888873,-0.5550032059351603,0.2222222222222222
Doncic to Lakers,-24,5,0.04826000000000001,-0.6252421617507935,0.2
Doncic to Lakers,-23,3,0.13396666666666665,0.3267786502838135,0.6666666666666666
Doncic to Lakers,-22,6,0.07984999999999999,0.6631468832492828,0.8333333333333334
Doncic to Lakers,-21,9,0.10661111111111111,-0.06564052237404717,0.4444444444444444
Doncic to Lakers,-20,7,0.07150000000000001,-0.4049145834786551,0.2857142857142857
Doncic to Lakers,-19,7,-0.31001428571428574,-0.43948352336883545,0.2857142857142857
Doncic to Lakers,-18,10,0.0397,-0.12686293721199035,0.4
Doncic to Lakers,-17,8,-0.051325,0.04629771411418915,0.5
Doncic to Lakers,-16,8,-0.2172,-0.23066002875566483,0.375
Doncic to Lakers,-15,4,-0.022825000000000005,-0.07982553541660309,0.5
Doncic to Lakers,-14,3,-0.07253333333333334,-0.32219958305358887,0.3333333333333333
Doncic to Lakers,-13,3,0.19063333333333332,0.36007243394851685,0.6666666666666666
Doncic to Lakers,-12,3,0.19063333333333332,0.36007243394851685,0.6666666666666666
Doncic to Lakers,-11,3,0.1531,-0.3525543808937073,0.3333333333333333
Doncic to Lakers,-10,8,0.2010375,0.18908365070819855,0.625
Doncic to Lakers,-9,10,0.20949,0.334475040435791,0.7
Doncic to Lakers,-8,8,0.21213749999999998,0.26058171689510345,0.625
Doncic to Lakers,-7,7,0.032657142857142864,0.3201897825513567,0.7142857142857143
Doncic to Lakers,-6,4,-0.28785000000000005,-0.13984224200248718,0.5
Doncic to Lakers,-5,6,-0.12491666666666668,-0.3797566493352254,0.3333333333333333
Doncic to Lakers,-4,6,0.06698333333333333,-0.0038531720638275146,0.5
Doncic to Lakers,-3,7,-0.14031428571428572,-0.6314540079661778,0.14285714285714285
Doncic to Lakers,-2,10,-0.03462,-0.31998165249824523,0.3
Doncic to Lakers,-1,26,0.18953846153846157,-0.126616331247183,0.4230769230769231
Doncic to Lakers,0,100,0.06015000000000001,-0.06557400643825531,0.47
Doncic to Lakers,1,100,0.009648000000000004,-0.11487075924873352,0.45
Doncic to Lakers,2,100,0.021204999999999998,-0.07945803642272949,0.46
Doncic to Lakers,3,100,0.08886,0.034942687153816224,0.52
Doncic to Lakers,4,70,0.14190142857142857,0.05681263378688267,0.5285714285714286
Doncic to Lakers,5,89,0.07906404494382022,-0.03440016441130906,0.48314606741573035
Doncic to Lakers,6,68,-0.08239411764705883,-0.3371717395151363,0.3235294117647059
Doncic to Lakers,7,61,-0.11087049180327868,-0.4320123713524615,0.2786885245901639
Doncic to Lakers,8,100,0.018241,-0.010719223618507386,0.49
Doncic to Lakers,9,100,0.174314,0.2905569934844971,0.64
Doncic to Lakers,10,100,0.193787,0.3041309893131256,0.65
Doncic to Lakers,11,69,0.002688405797101449,-0.10143203147943469,0.43478260869565216
Doncic to Lakers,12,38,0.012971052631578947,-0.2354070732468053,0.3684210526315789
Doncic to Lakers,13,32,-0.006884374999999991,0.15871557593345642,0.59375
Doncic to Lakers,14,1,0.0,0.9854856729507446,1.0
Durant to Suns,-30,10,0.05461000000000001,0.0390489399433136,0.5
Durant to Suns,-29,10,0.09627000000000001,0.38374340534210205,0.7
