date,title,source
2025-01-02,Police report reveals value of jewelry stolen from Luka Doncic's home amid nationwide athlete burglaries - CBS News,CBS News
2025-01-02,Will Luka Doncic play tonight against the Houston Rockets tonight? Latest update on the Dallas Mavericks - The Times of India,The Times of India
2025-01-02,"Luka Doncic’s Takedown Sneaker, The Jordan Luka .77, Debuts Summer 2025 - Sole Retriever",Sole Retriever
2025-01-02,"Cavaliers 134-122 Mavericks (Jan 3, 2025) Game Recap - ESPN",ESPN
2025-01-02,"After 100 games, Victor Wembanyama's numbers are simply staggering - NBA.com",NBA.com
2025-01-02,Rockets beat the Mavericks 110-99 to snap a 2-game skid - Spectrum News,Spectrum News
2025-01-02,"Predicting NBA's next five years: Champions, MVPs, breakout players, trades, expansion, more for 2025-2029 - CBS Sports",CBS Sports
2025-01-02,Mavericks' Kyrie Irving out against NBA-leading Cavaliers with illness - Sportsnet.ca,Sportsnet.ca
2025-01-02,"LeBron James, Stephen Curry 3rd at positions in NBA All-Star voting - ESPN",ESPN
2025-01-02,Athletes are forced to play defense as burglars score big inside their homes - ESPN,ESPN
2025-01-03,"Cavaliers 134-122 Mavericks (Jan 3, 2025) Game Recap - ESPN",ESPN
2025-01-03,"After 100 games, Victor Wembanyama's numbers are simply staggering - NBA.com",NBA.com
2025-01-03,"'It's our time': Montana State hall of famer, Dallas Mavericks general manager Nico Harrison - MontanaSports.com",MontanaSports.com
2025-01-03,Mavericks' Kyrie Irving out against NBA-leading Cavaliers with illness - Sportsnet.ca,Sportsnet.ca
2025-01-03,Happy birthday Wemby! | How the Spurs center compares to other NBA greats at age 21 - kens5.com,kens5.com
2025-01-03,Athletes are forced to play defense as burglars score big inside their homes - ESPN,ESPN
2025-01-04,"'It's our time': Montana State hall of famer, Dallas Mavericks general manager Nico Harrison - MontanaSports.com",MontanaSports.com
2025-01-04,"Victor Wembanyama after 100 games: Set to turn 21, his numbers are staggering - Spectrum News",Spectrum News
2025-01-04,Happy birthday Wemby! | How the Spurs center compares to other NBA greats at age 21 - kens5.com,kens5.com
2025-01-05,"Kyrie Irving out 1-2 weeks, possibly longer, with bulging back disc - NBC 5 Dallas-Fort Worth",NBC 5 Dallas-Fort Worth
2025-01-05,Sources: Mavericks' Kyrie Irving (back) out at least 1-2 weeks - ESPN,ESPN
2025-01-05,"FBI issues warning to NFL, NBA about organized crime groups targeting pro athletes - Texas Public Radio | TPR",Texas Public Radio | TPR
2025-01-05,"Dallas Mavericks vs Memphis Grizzlies Jan 6, 2025 Game Summary - NBA.com",NBA.com
2025-01-06,"LeBron James, Lakers Ripped By NBA Fans for Loss vs. Mavs with Luka Dončić, Kyrie Out - Bleacher Report",Bleacher Report
2025-01-06,Are Youth Sports Too Stressful to Be Fun Anymore? (Published 2025) - The New York Times,The New York Times
2025-01-06,Mavericks end 5-game losing streak with a 118-97 victory over Lakers - Spectrum News,Spectrum News
2025-01-06,"FBI issues warning to NFL, NBA about organized crime groups targeting pro athletes - Texas Public Radio | TPR",Texas Public Radio | TPR
2025-01-06,Mavs' Kyrie Irving out at least 1-2 weeks with bulging disc in back - NBA.com,NBA.com
2025-01-06,"Top 10 highest-paid NBA players in 2025 worldwide, ranked - The Times of India",The Times of India
2025-01-07,"LeBron James, Lakers Ripped By NBA Fans for Loss vs. Mavs with Luka Dončić, Kyrie Out - Bleacher Report",Bleacher Report
2025-01-07,Are Youth Sports Too Stressful to Be Fun Anymore? (Published 2025) - The New York Times,The New York Times
2025-01-07,Mavericks end 5-game losing streak with a 118-97 victory over Lakers - Spectrum News,Spectrum News
2025-01-07,"Los Angeles Lakers vs Dallas Mavericks Jan 7, 2025 Game Summary - NBA.com",NBA.com
2025-01-07,"NBA Insiders: Luka Dončić, Mavs Are Biggest Threat to Thunder in Western Conference - Bleacher Report",Bleacher Report
2025-01-07,"No Luka, no Kyrie, no problem: Undermanned Mavericks stun Lakers with 21-point rout - Rappler",Rappler
2025-01-07,"Top 10 highest-paid NBA players in 2025 worldwide, ranked - The Times of India",The Times of India
2025-01-07,Kyrie Irving out with bulging disk in his back - Spectrum News,Spectrum News
2025-01-07,Lebron James turns back the clock with jaw-dropping lefty dunk that might rewrite the highlight reel - MARCA,MARCA
2025-01-08,"NBA Insiders: Luka Dončić, Mavs Are Biggest Threat to Thunder in Western Conference - Bleacher Report",Bleacher Report
2025-01-08,The Shorthanded Mavs Must Survive January. Here’s How They Can Do It. - D Magazine,D Magazine
2025-01-08,"Los Angeles Lakers vs Dallas Mavericks Jan 7, 2025 Game Summary - NBA.com",NBA.com
2025-01-08,"No Luka, no Kyrie, no problem: Undermanned Mavericks stun Lakers with 21-point rout - Rappler",Rappler
2025-01-08,Lebron James turns back the clock with jaw-dropping lefty dunk that might rewrite the highlight reel - MARCA,MARCA
2025-01-09,The Shorthanded Mavs Must Survive January. Here’s How They Can Do It. - D Magazine,D Magazine
2025-01-09,Hardy scores 25 and Mavericks use late 16-0 run to rally past Trail Blazers 117-111 - Spectrum News,Spectrum News
2025-01-09,"NBA All-Star Game: LeBron, Steph, KD among 24 projected picks - ESPN",ESPN
2025-01-10,"Mavericks' Luka Doncic to be ineligible for All-NBA, MVP this season - Dallas News",Dallas News
2025-01-10,Luka Doncic forces Los Angeles Lakers legend to U-turn - MARCA,MARCA
2025-01-10,Hardy scores 25 and Mavericks use late 16-0 run to rally past Trail Blazers 117-111 - Spectrum News,Spectrum News
2025-01-10,De Larrea follows in Doncic’s footsteps - Eurohoops,Eurohoops
2025-01-10,"NBA All-Star Game: LeBron, Steph, KD among 24 projected picks - ESPN",ESPN
2025-01-10,Luka Doncic and Kyrie Irving’s Behind the Scenes Footage Comforts Dallas Amid Injury Concerns - EssentiallySports,EssentiallySports
2025-01-11,Luka Doncic ineligible for MVP award - Yahoo Sports,Yahoo Sports
2025-01-11,Luka Doncic Sends Message to Cooper Flagg After Lakers vs Mavericks Game - beIN SPORTS,beIN SPORTS
2025-01-11,"Mavericks' Luka Doncic to be ineligible for All-NBA, MVP this season - Dallas News",Dallas News
2025-01-11,Will Luka Doncic play tonight against the Denver Nuggets? Latest update on the Dallas Mavericks star's in - The Times of India,The Times of India
2025-01-11,Luka Doncic forces Los Angeles Lakers legend to U-turn - MARCA,MARCA
2025-01-11,Luka Likely to Be Ineligible for MVP Due to NBA Rules; Can Still Get Max Contract - Bleacher Report,Bleacher Report
2025-01-11,"Denver Nuggets vs Dallas Mavericks Jan 12, 2025 Game Summary - NBA.com",NBA.com
2025-01-11,De Larrea follows in Doncic’s footsteps - Eurohoops,Eurohoops
2025-01-11,Luka Doncic and Kyrie Irving’s Behind the Scenes Footage Comforts Dallas Amid Injury Concerns - EssentiallySports,EssentiallySports
2025-01-12,Luka Doncic ineligible for MVP award - Yahoo Sports,Yahoo Sports
2025-01-12,Jalen Brunson Uses Mavs' Luka Doncic as Example to Criticize Nikola Jokic's MVP Case - Sports Illustrated,Sports Illustrated
2025-01-12,Luka Doncic Sends Message to Cooper Flagg After Lakers vs Mavericks Game - beIN SPORTS,beIN SPORTS
2025-01-12,Will Luka Doncic play tonight against the Denver Nuggets? Latest update on the Dallas Mavericks star's in - The Times of India,The Times of India
2025-01-12,Luka Likely to Be Ineligible for MVP Due to NBA Rules; Can Still Get Max Contract - Bleacher Report,Bleacher Report
2025-01-12,"Denver Nuggets vs Dallas Mavericks Jan 12, 2025 Game Summary - NBA.com",NBA.com
2025-01-12,"Jalen Brunson questions NBA MVP narratives surrounding Nikola Jokic, Luka Doncic - ClutchPoints",ClutchPoints
2025-01-13,Jalen Brunson Uses Mavs' Luka Doncic as Example to Criticize Nikola Jokic's MVP Case - Sports Illustrated,Sports Illustrated
2025-01-13,The Mavericks' Next Step Forward Starts with Their Centers - D Magazine,D Magazine
2025-01-13,"How long is Luka Doncic out? Calf injury timeline, return date, latest updates on Mavericks star - sportingnews.com",sportingnews.com
2025-01-13,"Kyrie Irving struggles in Mavs return, confirms bulging disk - ESPN",ESPN
2025-01-13,NBA: Mavericks' Luka Doncic Ruled Out Of MVP Race After Suffering Calf Injury - News18,News18
2025-01-13,Report: Three Stanley Cup rings missing from Malkin's home - ESPN,ESPN
2025-01-13,"Jalen Brunson questions NBA MVP narratives surrounding Nikola Jokic, Luka Doncic - ClutchPoints",ClutchPoints
2025-01-14,"Mavericks' Luka Doncic Now Ineligible For NBA Postseason Awards, Including MVP - Sports Illustrated",Sports Illustrated
2025-01-14,The Mavericks' Next Step Forward Starts with Their Centers - D Magazine,D Magazine
2025-01-14,"How long is Luka Doncic out? Calf injury timeline, return date, latest updates on Mavericks star - sportingnews.com",sportingnews.com
2025-01-14,Mavericks' Kyrie Irving (back) sidelined vs. Pelicans - ESPN,ESPN
2025-01-14,Kyrie Irving Gets Honest About His Friendship With Luka Doncic - Basketball Forever,Basketball Forever
2025-01-14,Jalen Williams claims there should be two DPOY awards - BasketNews.com,BasketNews.com
2025-01-14,NBA: Mavericks' Luka Doncic Ruled Out Of MVP Race After Suffering Calf Injury - News18,News18
2025-01-14,"Luka Doncic update is potentially good news for Dallas Mavericks, he’s been badly missed - NBA Analysis Network",NBA Analysis Network
2025-01-14,Mavericks ‘confident’ Luka Doncic injury return outlook - ClutchPoints,ClutchPoints
2025-01-14,"$8 million tennis star rallies for Luka Doncic & Kyrie Irving's All-Star votes, dubbing Mavericks duo as 'best backcourt' in NBA - Sportskeeda",Sportskeeda
2025-01-15,"Mavericks' Luka Doncic Now Ineligible For NBA Postseason Awards, Including MVP - Sports Illustrated",Sports Illustrated
2025-01-15,Luka Doncic injury update: Dallas Mavericks could have star player back sooner than expected - MARCA,MARCA
2025-01-15,Kyrie Irving Gets Honest About His Friendship With Luka Doncic - Basketball Forever,Basketball Forever
2025-01-15,"Dennis Smith Jr.: ""Coming to Real Madrid means a lot to me” - Real Madrid CF | Web Oficial",Real Madrid CF | Web Oficial
2025-01-15,Will a Kansas City Chiefs 3-Peat cement Patrick Mahomes GOAT status | Speak - FOX Sports,FOX Sports
2025-01-15,Luka Doncic Injury Report: Massive Update on Star Guard's Much-Anticipated Date of Return - SportsTak,SportsTak
2025-01-15,"Luka Doncic update is potentially good news for Dallas Mavericks, he’s been badly missed - NBA Analysis Network",NBA Analysis Network
2025-01-15,Mavericks ‘confident’ Luka Doncic injury return outlook - ClutchPoints,ClutchPoints
2025-01-16,Luka Doncic injury update: Dallas Mavericks could have star player back sooner than expected - MARCA,MARCA
2025-01-16,Mavericks beat Thunder 106-98 as OKC All-Star Shai Gilgeous-Alexander sits with wrist injury - WKMG,WKMG
2025-01-16,"Dennis Smith Jr.: ""Coming to Real Madrid means a lot to me” - Real Madrid CF | Web Oficial",Real Madrid CF | Web Oficial
2025-01-16,Will a Kansas City Chiefs 3-Peat cement Patrick Mahomes GOAT status | Speak - FOX Sports,FOX Sports
2025-01-16,Stephen Curry in Tight Race for Starting Backcourt Spot in Third All-Star Voting Returns - NBA.com,NBA.com
2025-01-16,Latest Injury Update on Kyrie Irving and Luka Doncic as Mavericks Gear Up for OKC Thunder Clash - EssentiallySports,EssentiallySports
2025-01-16,Luka Doncic Injury Report: Massive Update on Star Guard's Much-Anticipated Date of Return - SportsTak,SportsTak
2025-01-16,8 Mavericks Players Who Could Leave The Team In 2025 - Fadeaway World,Fadeaway World
2025-01-17,"Mavericks 106-98 Thunder (Jan 17, 2025) Game Recap - ESPN",ESPN
2025-01-17,Luka Doncic vs Ja Morant: Young Superstars and Their Rapidly Growing Net Worth - The Times of India,The Times of India
2025-01-17,Latest Injury Update on Kyrie Irving and Luka Doncic as Mavericks Gear Up for OKC Thunder Clash - EssentiallySports,EssentiallySports
2025-01-17,8 Mavericks Players Who Could Leave The Team In 2025 - Fadeaway World,Fadeaway World
2025-01-18,Mavericks beat Thunder 106-98 as OKC All-Star Shai Gilgeous-Alexander sits with wrist injury - WSLS,WSLS
2025-01-18,Luka Doncic vs Ja Morant: Young Superstars and Their Rapidly Growing Net Worth - The Times of India,The Times of India
2025-01-18,Rumors: Mavericks shockingly 'dangle' key piece in trade talks ahead of deadline - The Smoking Cuban,The Smoking Cuban
2025-01-19,Detroit Lions OC Ben Johnson takes over as Chicago Bears head coach | Speak - FOX Sports,FOX Sports
2025-01-19,"Dallas Mavericks vs Charlotte Hornets Jan 20, 2025 Game Summary - NBA.com",NBA.com
2025-01-19,Lakers trade rumors: How LeBron James and Co. can acquire Luka Doncic's 'perfect partner' from Mavericks in 3-team deal - Sportskeeda,Sportskeeda
2025-01-20,Detroit Lions OC Ben Johnson takes over as Chicago Bears head coach | Speak - FOX Sports,FOX Sports
2025-01-20,"Dallas Mavericks vs Charlotte Hornets Jan 20, 2025 Game Summary - NBA.com",NBA.com
2025-01-20,Lakers trade rumors: How LeBron James and Co. can acquire Luka Doncic's 'perfect partner' from Mavericks in 3-team deal - Sportskeeda,Sportskeeda
2025-01-21,Jason Kidd gives update on Luka Doncic's injury - BasketNews.com,BasketNews.com
2025-01-21,Rumors: Luka Doncic sets ambitious 'goal' return date from calf strain - The Smoking Cuban,The Smoking Cuban
2025-01-21,Sources: Mavs' Dereck Lively II out months with ankle fracture - ESPN,ESPN
2025-01-22,Jason Kidd gives update on Luka Doncic's injury - BasketNews.com,BasketNews.com
