percentile,threshold,above_rate,below_rate,lift,direction,n_above,n_below
20,22.0,0.2882,0.6409,2.2236,below,1301,298
25,22.0,0.2882,0.6409,2.2236,below,1301,298
30,22.0,0.2882,0.6409,2.2236,below,1301,298
35,23.0,0.2477,0.5739,2.3171,below,1078,521
40,23.0,0.2477,0.5739,2.3171,below,1078,521
45,23.0,0.2477,0.5739,2.3171,below,1078,521
50,23.0,0.2477,0.5739,2.3171,below,1078,521
55,24.0,0.224,0.4662,2.0811,below,741,858
60,24.0,0.224,0.4662,2.0811,below,741,858
65,24.0,0.224,0.4662,2.0811,below,741,858
70,25.0,0.2114,0.421,1.9917,below,511,1088
75,26.0,0.2024,0.408,2.0159,below,420,1179
80,27.0,0.1855,0.4003,2.158,below,345,1254
