team,year,segment,attendance,avg_ticket_price,win_pct,playoff,new_stadium,log_attendance,log_price,predicted_log_att,residual
ARI,2011,playoff_caliber,2105432,15.74,0.58,1,0,14.560031229695921,2.756205242989257,14.615110958560992,-0.05507972886507062
ATL,2011,playoff_caliber,2372940,19.38,0.549,1,0,14.67964025064818,2.96424160646262,14.642700207945788,0.03694004270239226
BAL,2011,non_playoff,1755461,23.9,0.426,0,0,14.378242058450939,3.173878458937465,14.543123240864347,-0.1648811824134082
BOS,2011,playoff_caliber,3054001,53.38,0.556,0,0,14.931963092200085,3.9774361439763783,15.032299930427355,-0.10033683822726935
CHN,2011,non_playoff,3017966,46.9,0.438,0,0,14.920093652507573,3.8480176754522337,14.797067534818671,0.12302611768890159
CHA,2011,non_playoff,2001117,40.67,0.488,0,0,14.50921608262114,3.7054907199191334,14.834509297674801,-0.3252932150536605
CIN,2011,non_playoff,2213588,20.56,0.488,0,0,14.610125286406548,3.0233474405869645,14.600026358211132,0.01009892819541669
CLE,2011,non_playoff,1840835,18.49,0.494,0,0,14.425729830994943,2.9172300453990334,14.573320371188947,-0.1475905401940043
COL,2011,non_playoff,2909777,19.5,0.451,0,0,14.883587003908865,2.970414465569701,14.518783556381457,0.36480344752740734
DET,2011,playoff_caliber,2642045,29.32,0.586,1,0,14.787063796470454,3.3782698770184507,14.837171493490589,-0.05010769702013462
MIA,2011,non_playoff,1520562,19.06,0.444,0,0,14.234590561328742,2.947591898226056,14.498430367903158,-0.2638398065744152
HOU,2011,non_playoff,2067016,30.84,0.346,0,0,14.541616579320932,3.4288125486951286,14.46443690297205,0.0771796763488819
KCA,2011,non_playoff,1724450,18.95,0.438,0,0,14.360418717027422,2.9418039315284354,14.485561625582623,-0.12514290855520116
ANA,2011,non_playoff,3166321,17.13,0.531,0,0,14.968080904049765,2.8408313123360287,14.604811480268042,0.36326942378172333
LAN,2011,non_playoff,2935139,30.59,0.509,0,0,14.892265369577766,3.420673158162812,14.77029434142039,0.12197102815737537
MIL,2011,playoff_caliber,3071373,22.1,0.593,1,0,14.937635250855642,3.095577608523707,14.749492615319786,0.18814263553585597
MIN,2011,non_playoff,3168116,33.04,0.389,0,0,14.968647647407714,3.497718948652777,14.581789395151915,0.3868582522557986
NYN,2011,non_playoff,2352596,31.81,0.475,0,0,14.671029957260497,3.4597807057610526,14.728458010271904,-0.05742805301140663
NYA,2011,playoff_caliber,3653680,51.83,0.599,1,0,15.111245436825163,3.947969132201615,15.050547230076255,0.060698206748908135
OAK,2011,non_playoff,1476791,21.52,0.457,0,0,14.2053820484543,3.0689827352935835,14.563233482244607,-0.3578514337903069
PHI,2011,playoff_caliber,3680718,36.29,0.63,1,0,15.11861839980954,3.591542221224979,14.968374168514446,0.150244231295094
PIT,2011,non_playoff,1940429,15.3,0.444,0,0,14.478419640613605,2.72785282839839,14.422896290870767,0.055523349742838235
SDN,2011,non_playoff,2143018,15.45,0.438,0,0,14.577725673860476,2.7376090033437546,14.415370760356783,0.1623549135036928
SFN,2011,non_playoff,3387303,25.04,0.531,0,0,15.035544587497476,3.2204745462318978,14.73531171992231,0.30023286757516665
SEA,2011,non_playoff,1896321,26.4,0.414,0,0,14.455426251264303,3.2733640101522705,14.554473402763904,-0.09904715149960097
SLN,2011,playoff_caliber,3093954,31.17,0.556,0,0,14.94496044251917,3.4394560937792455,14.847372295185481,0.09758814733368837
TBA,2011,playoff_caliber,1529188,19.42,0.562,1,0,14.240247433533218,2.966303462863179,14.662122465498841,-0.42187503196562304
TEX,2011,playoff_caliber,2946949,18.6,0.593,1,0,14.89628095583544,2.9231615807191558,14.690225569472995,0.20605538636244525
TOR,2011,non_playoff,1818103,24.35,0.5,0,0,14.413304207780255,3.192531849528599,14.67760713605339,-0.2643029282731355
WAS,2011,non_playoff,1940478,30.54,0.497,0,0,14.478444892442626,3.4190372997904865,14.750655031754585,-0.2722101393119587
ARI,2013,non_playoff,2134895,16.89,0.5,0,0,14.573928023107602,2.826721730819709,14.553148886743294,0.020779136364307504
ATL,2013,playoff_caliber,2548679,17.32,0.593,1,0,14.751085743690249,2.851861903134289,14.66700363814746,0.08408210554278917
BAL,2013,non_playoff,2357561,23.89,0.525,0,0,14.673138168022446,3.173459961337718,14.71135112378425,-0.03821295576180361
BOS,2013,playoff_caliber,2833333,53.38,0.599,1,0,14.856964315145369,3.9774361439763783,15.061963284987572,-0.20499896984220278
CHN,2013,non_playoff,2642682,44.55,0.407,0,0,14.787304868526999,3.796612153916818,14.721988449795536,0.06531641873146299
CHA,2013,non_playoff,1768413,26.05,0.389,0,0,14.385593092185196,3.260017768199376,14.501367877308448,-0.11577478512325179
CIN,2013,playoff_caliber,2492101,21.35,0.556,1,0,14.7286366877632,3.0610517396746335,14.687395974805964,0.04124071295723475
CLE,2013,playoff_caliber,1572926,19.59,0.568,1,0,14.268448137068592,2.9750192319564492,14.67489686775798,-0.40644873068938736
COL,2013,non_playoff,2793828,23.65,0.457,0,0,14.842923256417363,3.1633631149379418,14.596963144530976,0.24596011188638656
DET,2013,playoff_caliber,3083397,26.36,0.574,1,0,14.941542469255966,3.2718477096343066,14.785332239865763,0.15621022939020257
MIA,2013,non_playoff,1586322,29.27,0.383,0,0,14.276928687051559,3.3765631007037946,14.529000324741148,-0.25207163768958907
HOU,2013,non_playoff,1651883,30.09,0.315,0,0,14.317426407310425,3.4041928906419536,14.38220504101261,-0.06477863370218451
KCA,2013,non_playoff,1750754,19.83,0.531,0,0,14.375557110250268,2.9871959425317045,14.65641043811798,-0.2808533278677121
ANA,2013,non_playoff,3019505,27.54,0.481,0,0,14.920603468632017,3.315639493300509,14.690234235756519,0.23036923287549804
LAN,2013,playoff_caliber,3743527,22.37,0.568,1,0,15.135538773128536,3.107720775502038,14.720512281622936,0.4150264915055999
MIL,2013,non_playoff,2531105,24.95,0.457,0,0,14.74416652424558,3.2168738221975275,14.615357151055957,0.1288093731896236
MIN,2013,non_playoff,2477644,32.59,0.407,0,0,14.72281866660517,3.4840054928494704,14.614531657353401,0.10828700925176804
NYN,2013,non_playoff,2135657,25.3,0.457,0,0,14.574284885643445,3.2308043957334744,14.620145707844673,-0.045860822201227336
NYA,2013,non_playoff,3279589,51.55,0.525,0,0,15.003228667630966,3.942552210462969,14.975722285617241,0.027506382013724462
OAK,2013,playoff_caliber,1809302,22.12,0.593,1,0,14.408451693506455,3.096482176654134,14.751090489876756,-0.34263879637030037
PHI,2013,non_playoff,3012403,37.42,0.451,0,0,14.91824865709252,3.6222053208459437,14.744119954047477,0.17412870304504224
PIT,2013,playoff_caliber,2256862,17.21,0.58,1,0,14.629485910820033,2.845490610223448,14.647089238809691,-0.017603327989657913
