team,year,attendance,win_pct,avg_ticket_price,playoff,new_stadium,log_attendance,log_price,log_win_pct,is_playoff_caliber
ARI,2011,2105432,0.58,15.74,1,0,14.560031229695921,2.756205242989257,-0.5447271754416722,1
ATL,2011,2372940,0.549,19.38,1,0,14.67964025064818,2.96424160646262,-0.5996568374726063,1
BAL,2011,1755461,0.426,23.9,0,0,14.378242058450939,3.173878458937465,-0.8533159327127666,0
BOS,2011,3054001,0.556,53.38,0,0,14.931963092200085,3.9774361439763783,-0.5869869847315546,1
CHN,2011,3017966,0.438,46.9,0,0,14.920093652507573,3.8480176754522337,-0.8255363686056909,0
CHA,2011,2001117,0.488,40.67,0,0,14.50921608262114,3.7054907199191334,-0.7174398731289899,0
CIN,2011,2213588,0.488,20.56,0,0,14.610125286406548,3.0233474405869645,-0.7174398731289899,0
CLE,2011,1840835,0.494,18.49,0,0,14.425729830994943,2.9172300453990334,-0.7052197617942145,0
COL,2011,2909777,0.451,19.5,0,0,14.883587003908865,2.970414465569701,-0.7962879394794586,0
DET,2011,2642045,0.586,29.32,1,0,14.787063796470454,3.3782698770184507,-0.5344354894051245,1
FLO,2011,1520562,0.444,19.06,0,0,14.234590561328742,2.947591898226056,-0.8119307165499123,0
HOU,2011,2067016,0.346,30.84,0,0,14.541616579320932,3.4288125486951286,-1.0613165039244128,0
KCA,2011,1724450,0.438,18.95,0,0,14.360418717027422,2.9418039315284354,-0.8255363686056909,0
ANA,2011,3166321,0.531,17.13,0,0,14.968080904049765,2.8408313123360287,-0.6329932577401982,0
LAN,2011,2935139,0.509,30.59,0,0,14.892265369577766,3.420673158162812,-0.6753072624316143,0
MIL,2011,3071373,0.593,22.1,1,0,14.937635250855642,3.095577608523707,-0.5225608799844117,1
MIN,2011,3168116,0.389,33.04,0,0,14.968647647407714,3.497718948652777,-0.9441759353636907,0
NYN,2011,2352596,0.475,31.81,0,0,14.671029957260497,3.4597807057610526,-0.7444404749474959,0
NYA,2011,3653680,0.599,51.83,1,0,15.111245436825163,3.947969132201615,-0.5124936808666878,1
OAK,2011,1476791,0.457,21.52,0,0,14.2053820484543,3.0689827352935835,-0.7830718880879323,0
PHI,2011,3680718,0.63,36.29,1,0,15.11861839980954,3.591542221224979,-0.4620354595965587,1
PIT,2011,1940429,0.444,15.3,0,0,14.478419640613605,2.72785282839839,-0.8119307165499123,0
SDN,2011,2143018,0.438,15.45,0,0,14.577725673860476,2.7376090033437546,-0.8255363686056909,0
SFN,2011,3387303,0.531,25.04,0,0,15.035544587497476,3.2204745462318978,-0.6329932577401982,0
SEA,2011,1896321,0.414,26.4,0,0,14.455426251264303,3.2733640101522705,-0.8818893051568227,0
SLN,2011,3093954,0.556,31.17,0,0,14.94496044251917,3.4394560937792455,-0.5869869847315546,1
TBA,2011,1529188,0.562,19.42,1,0,14.240247433533218,2.966303462863179,-0.5762534290884459,1
TEX,2011,2946949,0.593,18.6,1,0,14.89628095583544,2.9231615807191558,-0.5225608799844117,1
TOR,2011,1818103,0.5,24.35,0,0,14.413304207780255,3.192531849528599,-0.6931471805599453,0
WAS,2011,1940478,0.497,30.54,0,0,14.478444892442626,3.4190372997904865,-0.6991652528855083,0
