goal_id,match_id,n_players,scorer,assister,chain_length
4a85417d-aa41-444d-ba9c-1080508fccaa,3825738,4,Filipe Luís Kasmirski,Juan Francisco Torres Belén,10
e77b9492-4a4c-42e8-8719-0a5df3ec7f10,3825738,5,Antoine Griezmann,Jorge Resurrección Merodio,10
c36aae78-a891-4fe6-bfb1-a80cc2c2eba3,3825738,3,Antoine Griezmann,Jorge Resurrección Merodio,6
38bb30ef-da9b-4dcf-825d-cdec7b3c6b55,3825732,4,John Guidetti,Iago Aspas Juncal,10
2e65f109-cb96-4fd0-9a65-2c4cfabfc2ec,3825732,5,John Guidetti,Daniel Wass,10
910dd940-373d-4bd1-a408-19730b800de4,3825732,5,Iago Aspas Juncal,Pedro Pablo Hernández,10
5b923ac6-3689-418a-86b6-cc8d5030fcfc,3825732,5,Deyverson Brum Silva Acosta,Víctor Camarasa Ferrando,10
99e22380-b59e-4c42-b93c-a70f755d5f44,3825732,5,Pedro López Muñoz,José Luis Morales Nogales,10
b4a14218-1642-46e4-aa1a-98b9b4a5b4f0,3825732,3,Fabián Ariel Orellana Valenzuela,Iago Aspas Juncal,10
3ff6ad66-4632-470c-ab46-d47f64935409,3825732,4,José Luis Morales Nogales,,10
4e909849-7d58-4ca1-9fdd-bacc56b49a46,3825857,5,Hernán Arsenio Pérez González,Víctor Sánchez Mata,10
189543b2-eb27-4be3-89e6-acbc9f977441,3825857,1,Giuseppe Rossi,,1
1935d620-a012-48f0-958e-675f504f7c14,3825857,2,Carl Medjani,Joan Verdú Fernández,3
eb7c4974-bdf7-41d0-b34a-ba90cfb9d208,3825835,3,Raúl García Escudero,Ander Iturraspe Derteano,4
40752aad-5e83-4959-a019-e3d519d3ae10,267506,3,Luis Alberto Suárez Díaz,Jordi Alba Ramos,10
39486428-a4ac-41b9-bb04-e1530f11daf1,267506,4,Luis Alberto Suárez Díaz,Daniel Alves da Silva,10
618f4987-a5eb-489f-bbb4-59526a545560,267506,4,Luis Alberto Suárez Díaz,Neymar da Silva Santos Junior,10
910b5e6f-834f-4dcf-b66f-d580cda6e3ae,3825819,5,John Guidetti,Fabián Ariel Orellana Valenzuela,10
0a141e68-df57-4a55-bda6-bdbf9f318128,3825819,4,Hugo Mallo Novegil,Carles Planas Antolínez,10
8afc047a-f378-4a12-8f9a-854926eec709,3825737,5,Hernán Arsenio Pérez González,Víctor Guillermo Álvarez Delgado,10
996a73b7-ce32-4fb0-b4d9-db1b88f20316,3825737,5,Pedro León Sánchez Gil,,10
3280bb4f-3d94-4221-b194-fda76e4be495,3825737,5,Pablo Sarabia García,Damián Nicolás Suárez Suárez,10
18fb4ec0-bd76-4dde-9983-1e36a32c5cea,3825737,5,Moisés Gómez Bordonado,Pablo Sarabia García,10
b2fe7518-a256-4650-b22e-fdf5cbdd0fb8,3825605,5,Kevin Gameiro,Benoît Trémoulinas,10
ba090b2b-4a0a-4aaf-8d9c-f8f0ababe842,3825605,3,Steven N''Kemboanza Mike Christopher Nzonzi,José Antonio Reyes Calderón,10
d0d3521b-665c-4ab6-a4e1-a51ca3da38cb,3825605,1,Tiago Manuel Dias Correia,,1
7321b594-74fc-4c97-9f40-982739b179c9,3825605,3,Javier Guerra Rodríguez,Tiago Manuel Dias Correia,10
3cf9c25d-1464-4240-ba17-541103d858be,3825605,1,Yevhen Konoplyanka,,1
d0d159d4-c530-43c5-b9ec-a1321ef4e13b,3825662,4,Lucas Pérez Martínez,,10
19240b03-5bc4-40ff-b559-ecabd04adc7b,3825649,4,Alen Halilović,Sergio Álvarez Díaz,10
93399b51-5c0f-459c-bf20-0697be99196b,3825710,1,Cristiano Ronaldo dos Santos Aveiro,,1
3bc3ce38-4320-4b90-bacc-d404ce5ccb71,3825710,5,Armindo Tué Na Bangna,Jonathas Cristian de Jesus,10
45db3747-9181-4f2e-a21b-d8dd4d22fe2c,3825710,2,Cristiano Ronaldo dos Santos Aveiro,Marcelo Vieira da Silva Júnior,3
e1c6c33c-2ced-44e9-bf6e-c77a2fa02483,3825710,4,Lucas Vázquez Iglesias,Gareth Frank Bale,10
ffea05bb-5e6c-4c20-89c8-f75cb5dbd50c,3825695,5,Roberto Soldado Rillo,Cédric Bakambu,10
da6b90a0-0270-46f5-8d43-a3805842c704,3825751,4,Iñaki Williams Arthuer,Mikel Balenziaga Oruesagasti,10
6bdd9d9a-43a5-435a-82ea-a032432a5ad7,3825595,1,Bruno Soriano Llido,,1
2268313b-140d-4644-89c6-cba4110a71bb,3825595,4,Mario Gaspar Pérez Martínez,Tomás Pina Isla,10
73c59ac6-6578-4261-a55f-fddb5fab9df3,3825595,3,Leonardo Carrilho Baptistão,Adrián López Álvarez,10
fe34dfd5-6bb3-4245-b1aa-a85daff29f8d,3825595,4,Aritz Aduriz Zubeldia,Mikel San José Domínguez,10
442bff23-9334-46c5-bfba-cdfb5bcff89c,266236,6,Luis Alberto Suárez Díaz,Jordi Alba Ramos,10
68be6aa3-1417-4bbd-ab09-a389ca47638f,3825762,2,Jonathan Rodríguez Menéndez,Rachid Aït-Atmane,3
da5b910a-820c-4e9b-b205-f0f9a12a8c6b,3825762,4,Luis Alberto Romero Alconchel,Lucas Pérez Martínez,10
49d6bb30-5adc-4e1a-852a-17b9633fb681,3825818,2,Willian José da Silva,Jonathan Viera Ramos,3
5f43d016-3c7c-47f4-80d8-8e2bf645ee92,3825651,3,Jean-Sylvain Claude Babin,Francisco Medina Luna,4
d11fb749-4d74-4da9-998c-73f7f20c998c,3825651,4,Felipe Salvador Caicedo Corozo,,10
649ed426-1783-49e7-8084-2b722c5e6f77,3825791,5,Rubén Castro Martín,Francisco José Molinero Calderón,10
21aa5b50-ddec-4249-9d50-40279e2c4d28,3825791,5,Rubén Castro Martín,Jorge Molina Vidal,7
46b9d224-cc5b-4793-a47f-81b23e59acfb,3825791,6,Alberto Mateus Contreiras Gonçalves,Roberto Trashorras Gayoso,10
7b0fbf8e-8b7d-4b07-9a5b-515043d796c3,3825791,5,Alberto Mateus Contreiras Gonçalves,,8
2ab195a9-0416-4640-9189-a83199a8d3a2,3825847,5,Adrián González Morales,,8
463cec30-bb79-45cd-a810-7540e50dca89,3825847,4,Federico Nicolás Cartabia,Celso Borges Mora,10
4de6652b-6577-4be6-8845-1d137d2fc309,3825755,1,Arnaldo Antonio Sanabria Ayala,,1
5e8ba3db-ecc3-475f-890d-44f3993858d9,266424,5,Luis Alberto Suárez Díaz,Sergi Roberto Carnicer,10
490b73dd-de44-47cb-9d56-8f08fce4c157,266424,3,Neymar da Silva Santos Junior,Andrés Iniesta Luján,10
11b23607-fae8-4943-9ce7-3bd43cffa04b,266424,4,Andrés Iniesta Luján,Neymar da Silva Santos Junior,10
